Document,Topic,Name,Top_n_words,Probability,Representative_document,index,nom,groupe,date_seance,nb_mots_approx,profession,titre,titre_complet,intervention,sexe,n_y_naissance,label,titre_regexed,contexte,proba_gauche
"Si vous m'y autorisez, monsieur le président, je défendrai en même temps l'amendement no 3 pour aller plus rapidement.",118,118_défendrai_permettez_no_amendements,défendrai - permettez - no - amendements - temps - président - conjointement - même - présenterai - nos,0.29553588659681074,False,55239,Éric Ciotti,LR,2017-07-06,19,Autre profession,après l'article 2,prorogation de l'état d'urgence > après l'article 2,"Si vous m'y autorisez, monsieur le président, je défendrai en même temps l'amendement no 3 pour aller plus rapidement.",H,0.6951219512195121,2.0,après Article X,prorogation de l'état d'urgence,0.06751587
"Nous vous demandons de mettre en place ce dispositif dans le cadre, encore, du principe de précaution. Il faut agir avant qu'un attentat ne soit commis : après, c'est trop tard !",52,52_sécurité_cybersécurité_sûreté_répression,sécurité - cybersécurité - sûreté - répression - précaution - terroristes - concitoyens - menace - composée - responsabiliser,0.027674184044075588,False,55247,Éric Ciotti,LR,2017-07-06,32,Autre profession,après l'article 3,prorogation de l'état d'urgence > après l'article 3,"Nous vous demandons de mettre en place ce dispositif dans le cadre, encore, du principe de précaution. Il faut agir avant qu'un attentat ne soit commis : après, c'est trop tard !",H,0.6951219512195121,2.0,après Article X,prorogation de l'état d'urgence,0.09156881
"Nous suivons toujours ce « long chemin tragique » et nous ne pouvons, hélas ! en percevoir le terme. Depuis ces dates tragiques – 7 janvier 2015, 13 novembre 2015, 14 juillet 2016 à Nice – , 239 de nos compatriotes sont décédés et plus de 800 ont été blessés. C'est une cicatrice indélébile. C'est un stigmate terrible pour notre nation.",40,40_soldats_guerre_morts_sacrifice,soldats - guerre - morts - sacrifice - défendre - hommes - 1944 - ceux - ont - histoire,0.19595212291705275,False,55254,Éric Ciotti,LR,2017-09-25,61,Autre profession,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme > motion de rejet préalable,"Nous suivons toujours ce « long chemin tragique » et nous ne pouvons, hélas ! en percevoir le terme. Depuis ces dates tragiques – 7 janvier 2015, 13 novembre 2015, 14 juillet 2016 à Nice – , 239 de nos compatriotes sont décédés et plus de 800 ont été blessés. C'est une cicatrice indélébile. C'est un stigmate terrible pour notre nation.",H,0.6951219512195121,2.0,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme,0.00032404668
"Des noms portent le martyre et le sacrifice de ces victimes : Jessica Schneider, Jean-Baptiste Salvaing, le père Hamel, Xavier Jugelé et tant d'autres, qui forment le long cortège de ceux qui ont eu à subir dans leur chair la barbarie islamiste.",40,40_soldats_guerre_morts_sacrifice,soldats - guerre - morts - sacrifice - défendre - hommes - 1944 - ceux - ont - histoire,1.0,True,55260,Éric Ciotti,LR,2017-09-25,42,Autre profession,motion de renvoi en commission,sécurité intérieure et lutte contre le terrorisme > motion de renvoi en commission,"Des noms portent le martyre et le sacrifice de ces victimes : Jessica Schneider, Jean-Baptiste Salvaing, le père Hamel, Xavier Jugelé et tant d'autres, qui forment le long cortège de ceux qui ont eu à subir dans leur chair la barbarie islamiste.",H,0.6951219512195121,2.0,motion de renvoi en commission,sécurité intérieure et lutte contre le terrorisme,0.000785694
"… que nous avons recréés ensuite mais qui ont été à nouveau supprimés un peu plus tard. De même, la Cour des comptes a souligné qu'il y avait moins de policiers et de gendarmes en 2015 qu'en 2012.",78,78_millions_dividendes_milliards_pauvres,millions - dividendes - milliards - pauvres - 2017 - pays - arnaque - capital - plus - entreprise,1.0,True,55284,Éric Ciotti,LR,2017-09-25,38,Autre profession,motion de renvoi en commission,sécurité intérieure et lutte contre le terrorisme > motion de renvoi en commission,"… que nous avons recréés ensuite mais qui ont été à nouveau supprimés un peu plus tard. De même, la Cour des comptes a souligné qu'il y avait moins de policiers et de gendarmes en 2015 qu'en 2012.",H,0.6951219512195121,2.0,motion de renvoi en commission,sécurité intérieure et lutte contre le terrorisme,0.011487209
"La politique, l'État, la République doivent toujours primer sur le religieux. La loi de la République doit toujours s'imposer face aux lois des religions.",51,51_laïcité_1905_république_école,laïcité - 1905 - république - école - religions - concordat - géométrie - variable - fondamentaux - cultes,0.07947654633064143,False,55288,Éric Ciotti,LR,2017-09-25,24,Autre profession,motion de renvoi en commission,sécurité intérieure et lutte contre le terrorisme > motion de renvoi en commission,"La politique, l'État, la République doivent toujours primer sur le religieux. La loi de la République doit toujours s'imposer face aux lois des religions.",H,0.6951219512195121,2.0,motion de renvoi en commission,sécurité intérieure et lutte contre le terrorisme,0.06841205
"… n'y demeurent pas, cela allégerait, selon moi, la charge des services et améliorerait la sécurité nationale.",116,116_ticket_véhicules_utiliser_transport,ticket - véhicules - utiliser - transport - mobilités - covoiturage - privilégier - leurs - acheter - leur,1.0,False,55339,Éric Ciotti,LR,2017-09-28,17,Autre profession,après l'article 7 bis,sécurité intérieure et lutte contre le terrorisme > après l'article 7 bis,"… n'y demeurent pas, cela allégerait, selon moi, la charge des services et améliorerait la sécurité nationale.",H,0.6951219512195121,2.0,après Article X bis,sécurité intérieure et lutte contre le terrorisme,0.28514585
"Quant à ce que j'ai dit de la proposition de transmettre l'information aux maires simplement pour qu'ils en aient connaissance, je n'ai fait preuve d'aucun mépris vis-à-vis des maires, monsieur Naegelen ; au contraire, ils ont tout mon respect et toute ma confiance. Simplement, ce n'est pas un service à leur rendre.",15,15_propos_je_pas_ne,propos - je - pas - ne - vous - arguments - ai - invectives - que - ce,0.12620162751337857,False,55358,Éric Ciotti,LR,2017-09-28,52,Autre profession,après l'article 7 bis,sécurité intérieure et lutte contre le terrorisme > après l'article 7 bis,"Quant à ce que j'ai dit de la proposition de transmettre l'information aux maires simplement pour qu'ils en aient connaissance, je n'ai fait preuve d'aucun mépris vis-à-vis des maires, monsieur Naegelen ; au contraire, ils ont tout mon respect et toute ma confiance. Simplement, ce n'est pas un service à leur rendre.",H,0.6951219512195121,2.0,après Article X bis,sécurité intérieure et lutte contre le terrorisme,0.8770888
"Je souscris pleinement aux propos que viennent de tenir Marine Brenier et Olivier Marleix. Plusieurs pays utilisent ce dispositif, à la mise au point duquel des entreprises françaises ont contribué. Des municipalités comme celle de Nice l'ont expérimenté et même davantage. Ne perdons pas de temps ! Je ne comprends pas cette réticence à placer les nouvelles technologies au service de la sécurité.",74,74_5g_sécurité_policiers_technologies,5g - sécurité - policiers - technologies - bureaucratie - trafiquants - policière - ovm - développement - efficacité,1.0,True,55366,Éric Ciotti,LR,2017-09-28,63,Autre profession,après l'article 8 ter,sécurité intérieure et lutte contre le terrorisme > après l'article 8 ter,"Je souscris pleinement aux propos que viennent de tenir Marine Brenier et Olivier Marleix. Plusieurs pays utilisent ce dispositif, à la mise au point duquel des entreprises françaises ont contribué. Des municipalités comme celle de Nice l'ont expérimenté et même davantage. Ne perdons pas de temps ! Je ne comprends pas cette réticence à placer les nouvelles technologies au service de la sécurité.",H,0.6951219512195121,2.0,après Article X ter,sécurité intérieure et lutte contre le terrorisme,0.55668545
"Pourquoi, monsieur le ministre d'État, ce préfet serait-il plus responsable que le magistrat qui n'a pas poursuivi l'assassin des deux jeunes femmes sur le parvis de la gare Saint-Charles ? Cet assassin avait été mis en cause six fois précédemment !",23,23_benalla_élysée_alexandre_badge,benalla - élysée - alexandre - badge - affaire - préfet - macron - police - cabinet - équipe,0.018842537328621813,False,55372,Éric Ciotti,LR,2017-10-11,41,Autre profession,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme > motion de rejet préalable,"Pourquoi, monsieur le ministre d'État, ce préfet serait-il plus responsable que le magistrat qui n'a pas poursuivi l'assassin des deux jeunes femmes sur le parvis de la gare Saint-Charles ? Cet assassin avait été mis en cause six fois précédemment !",H,0.6951219512195121,2.0,motion de rejet préalable,sécurité intérieure et lutte contre le terrorisme,0.0059687193
