Document,Topic,Name,Top_n_words,Probability,Representative_document,index,nom,groupe,date_seance,nb_mots_approx,profession,titre,titre_complet,intervention,sexe,n_y_naissance,label,titre_regexed,contexte,proba_gauche
"Monsieur le président, madame la ministre, comment avons-nous pu être aussi irresponsables et laisser la médecine et les soins se dégrader à ce point en France ?",8,8_médecins_médecine_soins_hôpitaux,médecins - médecine - soins - hôpitaux - santé - patients - médicale - hôpital - plus - sont,0.10158563899493173,False,7478,Jean Lassalle,NI,2017-07-19,27,Technicien agricole,article 2,modernisation du système de santé – profession de physicien médical et qualifications professionnelles dans le domaine de la santé – fonctionnement des ordres des professions de santé > article 2,"Monsieur le président, madame la ministre, comment avons-nous pu être aussi irresponsables et laisser la médecine et les soins se dégrader à ce point en France ?",H,0.8170731707317073,2.0,Article X,modernisation du système de santé – profession de physicien médical et qualifications professionnelles dans le domaine de la santé – fonctionnement des ordres des professions de santé,0.018646466
"Et cela se termine par une catastrophe.Ce que je voudrais savoir, c'est si la bonne vieille France que nous avons connue, la France de la démocratie et de la pluralité d'idées, existe encore ou s'il n'existe plus que la France de la finance universelle.",26,26_intérêt_intérêts_général_ceux,intérêt - intérêts - général - ceux - seigneurs - prix - et - qui - cupidité - vaches,0.06362510137303086,False,7496,Jean Lassalle,NI,2017-07-27,44,Technicien agricole,article 11,confiance dans la vie publique > article 11,"Et cela se termine par une catastrophe.Ce que je voudrais savoir, c'est si la bonne vieille France que nous avons connue, la France de la démocratie et de la pluralité d'idées, existe encore ou s'il n'existe plus que la France de la finance universelle.",H,0.8170731707317073,2.0,Article X,confiance dans la vie publique,0.10732965
"Excusez-moi, monsieur le président, d'intervenir depuis une place qui n'est pas la mienne habituellement : j'étais justement parti vérifier si j'étais bien inscrit sur l'article 12.",137,137_rapporteur_étais_rapporteure_amendiez,rapporteur - étais - rapporteure - amendiez - monsieur - accepterais - 124 - contrarier - enclin - rapport,1.0,False,7497,Jean Lassalle,NI,2017-07-27,26,Technicien agricole,article 12,confiance dans la vie publique > article 12,"Excusez-moi, monsieur le président, d'intervenir depuis une place qui n'est pas la mienne habituellement : j'étais justement parti vérifier si j'étais bien inscrit sur l'article 12.",H,0.8170731707317073,2.0,Article X,confiance dans la vie publique,0.01729259
"C'est par une disposition telle que celle-là que devrait commencer toute politique de transparence de la vie publique. Les sujets dont nous traitons sont certes importants, mais très collatéraux par rapport à la grande question réitérée par l'ensemble de nos concitoyens au cours des trois derniers mois. Je voterai donc cet amendement",29,29_proposition_réjouis_nos_sens,proposition - réjouis - nos - sens - texte - musical - bon - je - de - dans,0.018939869620909357,False,7508,Jean Lassalle,NI,2017-07-28,52,Technicien agricole,après l'article 15,confiance dans la vie publique > après l'article 15,"C'est par une disposition telle que celle-là que devrait commencer toute politique de transparence de la vie publique. Les sujets dont nous traitons sont certes importants, mais très collatéraux par rapport à la grande question réitérée par l'ensemble de nos concitoyens au cours des trois derniers mois. Je voterai donc cet amendement",H,0.8170731707317073,2.0,après Article X,confiance dans la vie publique,0.8782989
"Lorsqu'on parle avec les gens, ils sont beaucoup plus intéressés que nous ne le pensons à tout ce que nous faisons, et il faut leur ôter tout sentiment d'amalgame. Or, il n'empêche que ce sentiment reste. Le fait, par exemple, de donner au préfet une prérogative…",1,1_territoires_vise_mobilité_conseil,territoires - vise - mobilité - conseil - communes - compétences - amendement - des - agence - communautés,0.12333299940538048,False,7517,Jean Lassalle,NI,2017-09-27,46,Technicien agricole,article 4 quinquies,sécurité intérieure et lutte contre le terrorisme > article 4 quinquies,"Lorsqu'on parle avec les gens, ils sont beaucoup plus intéressés que nous ne le pensons à tout ce que nous faisons, et il faut leur ôter tout sentiment d'amalgame. Or, il n'empêche que ce sentiment reste. Le fait, par exemple, de donner au préfet une prérogative…",H,0.8170731707317073,2.0,Article X quinquies,sécurité intérieure et lutte contre le terrorisme,0.7585152
"Monsieur le président, c'est l'avant-dernière fois que j'interviens sur un article. Je laisserai ensuite l'Assemblée nationale continuer ses travaux : je ne veux pas trop en faire car chaque mot de trop est un mot de trop !",53,53_parole_présidente_président_je,parole - présidente - président - je - mot - monsieur - madame - me - ai - intervenir,1.0,False,7540,Jean Lassalle,NI,2017-10-25,38,Technicien agricole,article 6,projet de loi de financement de la sécurité sociale pour 2018 > article 6,"Monsieur le président, c'est l'avant-dernière fois que j'interviens sur un article. Je laisserai ensuite l'Assemblée nationale continuer ses travaux : je ne veux pas trop en faire car chaque mot de trop est un mot de trop !",H,0.8170731707317073,2.0,Article X,projet de loi de financement de la sécurité sociale pour 2018,0.4509262
"Madame la présidente, madame la ministre, madame la secrétaire d'État, monsieur le rapporteur, madame et messieurs les rapporteurs pour avis, chers collègues, c'est la première fois que je monte à la tribune depuis ma réélection.",14,14_madame_présidente_monsieur_chers,madame - présidente - monsieur - chers - collègues - président - ministre - mes - commission - rapporteur,0.049528304527403116,False,7568,Jean Lassalle,NI,2018-03-20,35,Technicien agricole,discussion générale,programmation militaire pour les années 2019 à 2025 > discussion générale,"Madame la présidente, madame la ministre, madame la secrétaire d'État, monsieur le rapporteur, madame et messieurs les rapporteurs pour avis, chers collègues, c'est la première fois que je monte à la tribune depuis ma réélection.",H,0.8170731707317073,2.0,discussion générale,programmation militaire pour les années 2019 à 2025,0.60565406
"Bien sûr, on ne peut que se réjouir de voir un sujet aussi important que la défense nationale faire l'objet d'une programmation budgétaire pour les années 2019 à 2025. C'est certainement – d'autres l'ont dit – la raison pour laquelle la nation, et les militaires, nous regardent.Mais nous sommes en plein brouillard.",140,140_programmation_militaire_2025_défense,programmation - militaire - 2025 - défense - brouillard - loi - année - 2019 - militaires - trajectoire,1.0,True,7570,Jean Lassalle,NI,2018-03-20,52,Technicien agricole,discussion générale,programmation militaire pour les années 2019 à 2025 > discussion générale,"Bien sûr, on ne peut que se réjouir de voir un sujet aussi important que la défense nationale faire l'objet d'une programmation budgétaire pour les années 2019 à 2025. C'est certainement – d'autres l'ont dit – la raison pour laquelle la nation, et les militaires, nous regardent.Mais nous sommes en plein brouillard.",H,0.8170731707317073,2.0,discussion générale,programmation militaire pour les années 2019 à 2025,0.49588132
"Ce n'est vraiment pas notre faute, ce n'est d'ailleurs la faute de personne… mais nous n'avons pas préparé l'avenir, ni chez nous, ni en Europe. En principe, ce sont les continents qui dirigent le monde – même notre monde financiarisé ; nous sommes le seul État-nation auquel il revienne de protéger tout un continent.",11,11_europe_européenne_union_européen,europe - européenne - union - européen - défense - peuples - france - européennes - européens - notre,1.0,False,7571,Jean Lassalle,NI,2018-03-20,54,Technicien agricole,discussion générale,programmation militaire pour les années 2019 à 2025 > discussion générale,"Ce n'est vraiment pas notre faute, ce n'est d'ailleurs la faute de personne… mais nous n'avons pas préparé l'avenir, ni chez nous, ni en Europe. En principe, ce sont les continents qui dirigent le monde – même notre monde financiarisé ; nous sommes le seul État-nation auquel il revienne de protéger tout un continent.",H,0.8170731707317073,2.0,discussion générale,programmation militaire pour les années 2019 à 2025,0.38928542
"Nous continuons de vendre des armes à l'Iran et à l'Arabie saoudite, des alliés sur lesquels nous savons pouvoir compter, et qui nous ont valu tant de satisfactions dans les dernières années.",40,40_soldats_guerre_morts_sacrifice,soldats - guerre - morts - sacrifice - défendre - hommes - 1944 - ceux - ont - histoire,0.09479708527723998,False,7573,Jean Lassalle,NI,2018-03-20,32,Technicien agricole,discussion générale,programmation militaire pour les années 2019 à 2025 > discussion générale,"Nous continuons de vendre des armes à l'Iran et à l'Arabie saoudite, des alliés sur lesquels nous savons pouvoir compter, et qui nous ont valu tant de satisfactions dans les dernières années.",H,0.8170731707317073,2.0,discussion générale,programmation militaire pour les années 2019 à 2025,0.87177664
