Document,Topic,Name,Top_n_words,Probability,Representative_document,index,nom,groupe,date_seance,nb_mots_approx,profession,titre,titre_complet,intervention,sexe,n_y_naissance,label,titre_regexed,contexte,proba_gauche
"Car ceux qui jettent des cocktails Molotov, madame, peuvent objectivement être qualifiés de terroristes, comme d'ailleurs ceux qui appellent à la violence contre la police, au meurtre de policiers, ce qui fut le cas lors de toute une série de manifestations auxquelles un certain nombre d'entre vous ont participé.",19,19_jaunes_gilets_mouvement_gilet,jaunes - gilets - mouvement - gilet - jaune - sont - des - les - samedi - policiers,0.016493775445556573,False,66960,Marine Le Pen,NI,2017-07-06,49,Avocate,après l'article 3,prorogation de l'état d'urgence > après l'article 3,"Car ceux qui jettent des cocktails Molotov, madame, peuvent objectivement être qualifiés de terroristes, comme d'ailleurs ceux qui appellent à la violence contre la police, au meurtre de policiers, ce qui fut le cas lors de toute une série de manifestations auxquelles un certain nombre d'entre vous ont participé.",F,0.6585365853658537,2.0,après Article X,prorogation de l'état d'urgence,0.13630748
"Alors oui, sous le régime de l'état d'urgence, de telles manifestations violentes, qui dégradent, brûlent, blessent, agressent, menacent nos forces de l'ordre ne devraient pas avoir lieu.",119,119_ordre_violence_impunité_violents,ordre - violence - impunité - violents - doctrine - forces - manifestations - troubles - nos - maintien,1.0,False,66961,Marine Le Pen,NI,2017-07-06,27,Avocate,après l'article 3,prorogation de l'état d'urgence > après l'article 3,"Alors oui, sous le régime de l'état d'urgence, de telles manifestations violentes, qui dégradent, brûlent, blessent, agressent, menacent nos forces de l'ordre ne devraient pas avoir lieu.",F,0.6585365853658537,2.0,après Article X,prorogation de l'état d'urgence,0.15270409
"Cela permettrait d'ailleurs d'éviter de mettre en péril les droits de tous les citoyens. Par ailleurs, le projet de loi Macron…",57,57_139_dame_loi_droit,139 - dame - loi - droit - adoption - pouvoirs - inscrire - règles - paraît - séparation,0.07865028413233463,False,66980,Marine Le Pen,NI,2017-09-25,21,Avocate,article 1er,sécurité intérieure et lutte contre le terrorisme > article 1er,"Cela permettrait d'ailleurs d'éviter de mettre en péril les droits de tous les citoyens. Par ailleurs, le projet de loi Macron…",F,0.6585365853658537,2.0,Article Xer,sécurité intérieure et lutte contre le terrorisme,0.28936562
"Changer pour changer, pour faire « moderne », pour répondre aux lobbies, pour obéir à l'Union européenne, pour laisser son nom dans l'histoire, pour complaire à une idéologie… On se perd en conjectures sur les raisons pitoyables qui sont à l'origine de ce mauvais coup porté à notre droit, à notre pays, à notre peuple.",11,11_europe_européenne_union_européen,europe - européenne - union - européen - défense - peuples - france - européennes - européens - notre,0.07566833798568767,False,67028,Marine Le Pen,NI,2017-12-11,55,Avocate,discussion générale,réforme du droit des contrats du régime général et de la preuve des obligations > discussion générale,"Changer pour changer, pour faire « moderne », pour répondre aux lobbies, pour obéir à l'Union européenne, pour laisser son nom dans l'histoire, pour complaire à une idéologie… On se perd en conjectures sur les raisons pitoyables qui sont à l'origine de ce mauvais coup porté à notre droit, à notre pays, à notre peuple.",F,0.6585365853658537,2.0,discussion générale,réforme du droit des contrats du régime général et de la preuve des obligations,0.96655387
"Comme toute ressource stratégique, il convient de la protéger – surtout que ces données appartiennent, encore plus que toute autre ressource stratégique, aux Français. Ces données sont même une partie intégrante des Français, symbole de leur mode de vie, de leurs centres d'intérêt, de leur santé, de leur patrimoine, etc.",42,42_données_personnelles_privée_protection,données - personnelles - privée - protection - vie - libertés - enjeu - informatique - cnil - notre,0.037458216933867375,False,67044,Marine Le Pen,NI,2018-02-06,50,Avocate,discussion générale,protection des données personnelles > discussion générale,"Comme toute ressource stratégique, il convient de la protéger – surtout que ces données appartiennent, encore plus que toute autre ressource stratégique, aux Français. Ces données sont même une partie intégrante des Français, symbole de leur mode de vie, de leurs centres d'intérêt, de leur santé, de leur patrimoine, etc.",F,0.6585365853658537,2.0,discussion générale,protection des données personnelles,0.72544867
"Nous le savons bien, presque chaque pan de notre existence peut être transformé en données personnelles numériques. La France a, depuis plusieurs décennies, pris conscience de l'importance de protéger ces données, ce qui s'est traduit par le vote de la loi du 6 janvier 1978.",42,42_données_personnelles_privée_protection,données - personnelles - privée - protection - vie - libertés - enjeu - informatique - cnil - notre,0.1815067746464895,False,67045,Marine Le Pen,NI,2018-02-06,45,Avocate,discussion générale,protection des données personnelles > discussion générale,"Nous le savons bien, presque chaque pan de notre existence peut être transformé en données personnelles numériques. La France a, depuis plusieurs décennies, pris conscience de l'importance de protéger ces données, ce qui s'est traduit par le vote de la loi du 6 janvier 1978.",F,0.6585365853658537,2.0,discussion générale,protection des données personnelles,0.7223481
"Incontestablement, je considère que la gestion des données personnelles est partie intégrante de notre souveraineté. Tant mieux, par conséquent, si l'on peut échanger avec nos voisins les bonnes pratiques ; tant mieux si nos voisins prennent modèle sur la France ; tant mieux si l'on peut se défendre à plusieurs pays contre les comportements scandaleux de certaines multinationales.",42,42_données_personnelles_privée_protection,données - personnelles - privée - protection - vie - libertés - enjeu - informatique - cnil - notre,0.03214555434327764,False,67048,Marine Le Pen,NI,2018-02-06,58,Avocate,discussion générale,protection des données personnelles > discussion générale,"Incontestablement, je considère que la gestion des données personnelles est partie intégrante de notre souveraineté. Tant mieux, par conséquent, si l'on peut échanger avec nos voisins les bonnes pratiques ; tant mieux si nos voisins prennent modèle sur la France ; tant mieux si l'on peut se défendre à plusieurs pays contre les comportements scandaleux de certaines multinationales.",F,0.6585365853658537,2.0,discussion générale,protection des données personnelles,0.62636113
"Toutefois, la transposition de la directive me gêne, en particulier s'agissant de la possibilité donnée à des inspecteurs dépendants d'organismes étrangers homologues à la CNIL d'enquêter sur le territoire français – même si j'ai bien noté que les fichiers les plus sensibles étaient exclus de cette transposition.",81,81_périmètre_fraude_entreprises_états,périmètre - fraude - entreprises - états - filiale - seuils - ovm - cas - leclerc - sauvegarde,1.0,True,67049,Marine Le Pen,NI,2018-02-06,47,Avocate,discussion générale,protection des données personnelles > discussion générale,"Toutefois, la transposition de la directive me gêne, en particulier s'agissant de la possibilité donnée à des inspecteurs dépendants d'organismes étrangers homologues à la CNIL d'enquêter sur le territoire français – même si j'ai bien noté que les fichiers les plus sensibles étaient exclus de cette transposition.",F,0.6585365853658537,2.0,discussion générale,protection des données personnelles,0.7036529
"Autre raison que l'on peut avancer en faveur de cette mesure de stockage sur le territoire national : elle permettrait d'accroître le développement de la filière industrielle de gestion de data. Cette filière ayant de surcroît la possibilité d'être installée partout sur le territoire, les pouvoirs publics pourraient l'utiliser pour revitaliser certaines friches industrielles.",123,123_ferroviaire_lignes_trains_fret,ferroviaire - lignes - trains - fret - transport - alternatives - investir - permettent - synchronisation - filière,0.05668214275399315,False,67053,Marine Le Pen,NI,2018-02-06,54,Avocate,discussion générale,protection des données personnelles > discussion générale,"Autre raison que l'on peut avancer en faveur de cette mesure de stockage sur le territoire national : elle permettrait d'accroître le développement de la filière industrielle de gestion de data. Cette filière ayant de surcroît la possibilité d'être installée partout sur le territoire, les pouvoirs publics pourraient l'utiliser pour revitaliser certaines friches industrielles.",F,0.6585365853658537,2.0,discussion générale,protection des données personnelles,0.65312856
"La protection des données personnelles, nous devons tous en être persuadés, est un enjeu colossal pour notre pays, pour ses habitants et pour ses entreprises. Mais comme nous considérons qu'il s'agit d'un enjeu de souveraineté, nous souhaitons qu'il soit d'abord gouverné en France.",42,42_données_personnelles_privée_protection,données - personnelles - privée - protection - vie - libertés - enjeu - informatique - cnil - notre,0.07210297032230073,False,67054,Marine Le Pen,NI,2018-02-06,43,Avocate,discussion générale,protection des données personnelles > discussion générale,"La protection des données personnelles, nous devons tous en être persuadés, est un enjeu colossal pour notre pays, pour ses habitants et pour ses entreprises. Mais comme nous considérons qu'il s'agit d'un enjeu de souveraineté, nous souhaitons qu'il soit d'abord gouverné en France.",F,0.6585365853658537,2.0,discussion générale,protection des données personnelles,0.9158501
